(L)Date&Time,,OC(ng/m3),Py C(ng/m3),EC(ng/m3),Li / 7,Mg / 25,S / 34,K / 39,V / 51,As / 75,Se / 77,Br / 79,Rb / 85,Mo / 95,Sn / 118,Sb / 121,Pb / 208
2016-01-07,4,175.6958517,85.33397311,16.68663237,0.000332286,0.0496926705,1.264717694,0.2926725665,0.004931967,0.002540636,0.116030068,0.041642249,0.0002219795,0.002873186,1.053531789,0.007885145,0.126609512
2016-01-10,7,102.5651963,38.10934116,44.89557685,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.001189211,0.0016815,0.00250104,0.0002219795,0.0012818915,0.0046969335,0.0005038675,0.0270326145
2016-01-13,3,131.809041,60.12014247,31.00436187,0.000702064,0.0496926705,1.264717694,0.798802717,0.002983299,0.014285321,0.005866926,0.069623807,0.001725757,0.005149145,0.031528273,0.027794327,0.101211114
2016-01-16,,128.2048938,46.78966924,41.92554282,0.000714848,0.975470243,3.686093809,2.646327017,0.001688828,0.032017071,0.004101369,0.06579755,0.005912063,0.017818213,0,0.039831674,0.122447927
2016-01-19,2,149.91313,55.50404956,59.99487477,0.00139715,0.117707255,11.04750201,1.401971559,0.006208125,0.037632865,0.00470355,0.092899713,0.002604201,0.021646364,0.069990725,0.106614263,0.113743382
2016-01-22,5,147.5105453,60.92131424,19.45975684,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.001189211,0.0016815,0.00250104,0.0002219795,0.0012818915,0.0046969335,0.0005038675,0.0270326145
2016-01-26,2,318.50415,134.8237255,113.003223,0.001181492,0.135702676,1.264717694,2.401538754,0.003277456,0.020108233,0.003517303,0.076353055,0.003622042,0.006728257,0.0046969335,0.069219228,0.213236243
2016-01-31,7,134.9469912,56.53582361,26.62356121,0.000332286,0.0496926705,1.264717694,2.151908881,0.001531754,0.02050898,0.008452303,0.080972082,0.003915074,0.003197679,0.08151839,0.029860867,0.097866266
2016-02-03,3,148.8120534,70.78518651,39.70738292,0.001157582,0.154442488,13.08515024,3.509721399,0.005184599,0.116963403,0.021886423,0.183219198,0.004869391,0.01632331,0.017431837,0.06103241,0.331897908
2016-02-06,6,230.2596513,100.1827612,28.36272423,0.000332286,0.453092774,11.76592981,2.830557819,0.000734826,0.022861317,0.015017623,0.120768213,0.004251599,0.006455917,0.0935098,0.030538239,0.141507994
2016-02-09,2,287.4809554,98.04320773,147.1017872,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.001189211,0.0016815,0.00250104,0.0002219795,0.0012818915,0.0046969335,0.0005038675,0.0270326145
2016-02-12,5,338.4665098,161.2075045,22.46084767,0.001490954,0.154955592,14.24214312,3.947439426,0.006235605,0.060590265,0.006631414,0.106712078,0.005589571,0.018296999,0.0046969335,0.066138344,0.188407957
2016-02-15,,172.6230828,51.17154352,80.96552223,0.001465208,0.040690818,4.250803657,1.103431408,0.005003642,0.030661255,0.026545391,0.177012075,0.002685034,0.070678589,0.12614248,0.074459131,0.301959302
2016-02-18,4,196.5576931,67.83441697,45.16905424,0.000332286,0.221105545,13.18629444,3.158037539,0.006103584,0.022578194,0.043604402,0.132980464,0.003037761,0.01633254,0.1368345,0.037369988,0.62155088
2016-02-21,7,235.4869361,109.6835403,35.08642075,0.00219915,0.119588323,3.203535423,3.213633423,0.003815678,0.032280432,0.015249741,0.166387955,0.005534474,0.020558845,0.009919372,0.121375091,0.160458333
2016-02-24,3,233.268967,76.99704217,110.5472183,0.000332286,0.0496926705,1.264717694,0.2926725665,0.016872561,0.031099467,0.038334922,0.00250104,0.0002219795,0.0012818915,0.0046969335,0.0005038675,0.0270326145
2016-02-27,6,199.5610416,63.25434792,63.86758361,0.001125724,0.0496926705,1.264717694,1.968329603,0.00174459,0.023452041,0.010053282,0.071129856,0.002921739,0.007770591,0.0046969335,0.078141631,0.0270326145
2016-03-01,2,102.2379821,29.03251537,77.06503786,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.017389581,0.004044598,0.041704773,0.00119094,0.006762825,0.0046969335,0.028939457,0.0270326145
2016-03-07,1,117.6099559,53.93026087,19.79535115,0.000787439,0.246359599,5.008283329,2.539350021,0.000734826,0.03676557,0.008131313,0.063617742,0.002467452,0.00819962,0.0046969335,0.081084831,0.0270326145
2016-03-10,4,72.86287651,29.91939969,7.026295008,0.001024319,0.0496926705,7.653692005,0.592656134,0.000734826,0.021601844,0.004541611,0.048201447,0.000824139,0.005735706,0.0046969335,0.080338017,0.0270326145
2016-03-13,7,79.21101596,30.21028344,28.40146486,0.000892132,0.286365262,10.63676785,3.476625783,0.011608898,0.018542296,0.005675637,0.068850135,0.002418625,0.013045945,0.0046969335,0.026394804,0.0270326145
2016-03-22,2,83.95593395,23.24064509,52.31242753,0.002282699,0.216600319,19.19480255,2.722680794,0.00865934,0.046528099,0.013259935,0.140125421,0.002620019,0.034785583,0.0046969335,0.10269575,0.0270326145
2016-03-25,5,79.40953041,29.9270144,18.05291021,0.001740474,0.459323053,11.45384551,5.518076244,0.005630259,0.017758155,0.008585499,0.10920951,0.004401188,0.011202146,0.0046969335,0.057347529,0.0270326145
2016-04-09,6,26.31159962,2.4885,12.44440642,0.007383092,0.41660038,9.977619919,1.279684722,0.012494356,0.013961276,0.05208417,0.24537146,0.001517768,0.031584268,0.226101627,0.057824676,0.070899974
2016-04-12,2,67.32879353,35.75877878,6.655587453,0.000332286,0.174542175,1.264717694,0.827099935,0.002801994,0.001189211,0.0016815,0.056584709,0.000915468,0.0012818915,0.0046969335,0.015510503,0.0270326145
2016-04-15,5,213.7758299,75.76188094,40.74496854,0.000332286,0.190170679,1.264717694,0.2926725665,0.001925468,0.004579778,0.005009951,0.075736924,0.000736028,0.005492498,0.0046969335,0.060290584,0.0270326145
