,Gasoline+Motor Oil+MeatCooking,Diesel,Wood burning,Sea spray,Shipping,Sb,Sn
6/2/2016,26.065452,54.1625148,35.3970552,23.93001,9.86349769,4.248949821,2.389996804
6/5/2016,0,0,37.9309008,40.7487834,1.467793675,7.292145423,0
6/8/2016,24.581158,41.45405016,7.18321602,3.031445196,2.375570525,1.005441872,1.379877878
6/11/2016,12.440638,21.56746288,17.549391,9.40936464,1.592191321,0.670197578,1.18149742
6/14/2016,18.652809,19.90182838,14.817681,3.493950876,5.03617161,0.470622459,0
6/17/2016,60.148536,0,30.2614404,15.7175694,5.37009704,3.116724299,0.053798506
6/20/2016,13.671665,58.4430866,7.76514408,8.120701836,9.62129752,1.321615267,4.024390802
6/23/2016,55.883737,0,8.74058604,11.35764864,3.91462184,0.38912007,0
6/26/2016,69.14936,0,1.96373034,9.41021172,4.89365633,0,0.764452732
6/29/2016,28.427693,49.3245542,11.93845866,7.071677964,5.63958737,0.560835767,0.7299574
